Date,Count,Date,Census_Tracts,PoliceDistrict
2014-12-21,59,2014-12-21,905.0,Northern
2014-12-28,66,2014-12-28,905.0,Northern
2015-01-04,60,2015-01-04,905.0,Northern
2015-01-11,51,2015-01-11,905.0,Northern
2015-01-18,67,2015-01-18,905.0,Northern
2015-01-25,69,2015-01-25,905.0,Northern
2015-02-01,61,2015-02-01,905.0,Northern
2015-02-08,81,2015-02-08,905.0,Northern
2015-02-15,57,2015-02-15,905.0,Northern
2015-02-22,51,2015-02-22,905.0,Northern
2015-03-01,92,2015-03-01,905.0,Northern
2015-03-08,51,2015-03-08,905.0,Northern
2015-03-15,68,2015-03-15,905.0,Northern
2015-03-22,70,2015-03-22,905.0,Northern
2015-03-29,75,2015-03-29,905.0,Northern
2015-04-05,74,2015-04-05,905.0,Northern
2015-04-12,72,2015-04-12,905.0,Northern
2015-04-19,80,2015-04-19,905.0,Northern
2015-04-26,73,2015-04-26,905.0,Northern
2015-05-03,111,2015-05-03,905.0,Northern
2015-05-10,72,2015-05-10,905.0,Northern
2015-05-17,67,2015-05-17,905.0,Northern
2015-05-24,59,2015-05-24,905.0,Northern
2015-05-31,72,2015-05-31,905.0,Northern
2015-06-07,79,2015-06-07,905.0,Northern
2015-06-14,77,2015-06-14,905.0,Northern
2015-06-21,84,2015-06-21,905.0,Northern
2015-06-28,75,2015-06-28,905.0,Northern
2015-07-05,59,2015-07-05,905.0,Northern
2015-07-12,52,2015-07-12,905.0,Northern
2015-07-19,68,2015-07-19,905.0,Northern
2015-07-26,84,2015-07-26,905.0,Northern
2015-08-02,82,2015-08-02,905.0,Northern
2015-08-09,61,2015-08-09,905.0,Northern
2015-08-16,86,2015-08-16,905.0,Northern
2015-08-23,67,2015-08-23,905.0,Northern
2015-08-30,80,2015-08-30,905.0,Northern
2015-09-06,50,2015-09-06,905.0,Northern
2015-09-13,83,2015-09-13,905.0,Northern
2015-09-20,56,2015-09-20,905.0,Northern
2015-09-27,76,2015-09-27,905.0,Northern
2015-10-04,61,2015-10-04,905.0,Northern
2015-10-11,79,2015-10-11,905.0,Northern
2015-10-18,87,2015-10-18,905.0,Northern
2015-10-25,97,2015-10-25,905.0,Northern
2015-11-01,90,2015-11-01,905.0,Northern
2015-11-08,79,2015-11-08,905.0,Northern
2015-11-15,82,2015-11-15,905.0,Northern
2015-11-22,88,2015-11-22,905.0,Northern
2015-11-29,54,2015-11-29,905.0,Northern
2015-12-06,68,2015-12-06,905.0,Northern
2015-12-13,58,2015-12-13,905.0,Northern
2015-12-20,67,2015-12-20,905.0,Northern
2015-12-27,77,2015-12-27,905.0,Northern
2016-01-03,60,2016-01-03,905.0,Northern
2016-01-10,63,2016-01-10,905.0,Northern
2016-01-17,64,2016-01-17,905.0,Northern
2016-01-24,59,2016-01-24,905.0,Northern
2016-01-31,60,2016-01-31,905.0,Northern
2016-02-07,76,2016-02-07,905.0,Northern
